Tahun_Ajaran,Tahun_Penduduk,Kecamatan,Jumlah_Penduduk,Jumlah_Guru_SD,Jumlah_Siswa_SD,Jumlah_Rombel_SD,Rasio_Siswa_Guru,Jumlah_Penduduk_Zscore,Jumlah_Guru_SD_Zscore,Jumlah_Siswa_SD_Zscore,Jumlah_Rombel_SD_Zscore,Rasio_Siswa_Guru_Zscore
2019-2020,2019,Seberang Ulu II,107.101,272,5533,211,20.341911764705884,0.31505124374060994,-0.8066820860268337,-0.5220059932001712,-0.7841536243118573,0.19742829336702566
2019-2020,2019,Sematang Borang,36.445,122,3189,100,26.139344262295083,-1.7290498285951625,-1.6777494131083144,-1.056944224646339,-1.6183494552714404,1.14004111927528
2019-2020,2019,Sukarami,158.246,662,18491,568,27.93202416918429,1.794692736955809,1.4580929643850158,2.4352165337108542,1.8988005347203152,1.4315155044767411
2020-2021,2020,Alang-Alang Lebar,105.201,329,7928,277,24.09726443768997,0.26008362545712405,-0.47567650173587106,0.02457125266739373,-0.2881452923899431,0.8080164454215173
2020-2021,2020,Bukit Kecil,38.585,271,522,199,1.9261992619926198,-1.6671389322127101,-0.8124892015407102,-1.6655962140946878,-0.874336957388569,-2.796808691800983
2020-2021,2020,Gandus,73.953,261,607,213,2.3256704980842913,-0.6439311830283294,-0.8705603566794756,-1.6461978567256927,-0.769123068799072,-2.731858093259643
2020-2021,2020,Ilir Barat I,140.945,671,13899,524,20.71385991058122,1.2941691769965524,1.5103570040099048,1.3872488038470303,1.5681283134390391,0.25790387337950205
2020-2021,2020,Ilir Barat II,67.614,172,4207,151,24.459302325581394,-0.8273205158172853,-1.3873936374144875,-0.824620368156493,-1.2350702896954158,0.866880702441
2020-2021,2020,Ilir Timur I,66.168,342,658,251,1.9239766081871346,-0.869153766363559,-0.4001840000554761,-1.6345588423042958,-0.4835425140561517,-2.797170076256166
2020-2021,2020,Ilir Timur II,85.46,335,7283,268,21.740298507462686,-0.3110299285082927,-0.44083380865261185,-0.12262804736792123,-0.3557827921974768,0.4247939901389608
2020-2021,2020,Ilir Timur III,73.01,327,5717,224,17.483180428134556,-0.6712124798921857,-0.48729073276362417,-0.48001425489552313,-0.6864550134787529,-0.26737691562825516
2020-2021,2020,Jakabaring,90.415,414,8927,331,21.56280193236715,-0.16768016609004402,0.01792831694363459,0.2525590057453467,0.1176797064552595,0.39593456860892773
2020-2021,2020,Kalidoni,122.474,590,13358,488,22.640677966101695,0.7597971363048344,1.0399806473859052,1.2637839645926034,1.297578314208904,0.5711879716558456
2020-2021,2020,Kemuning,80.685,611,12579,426,20.587561374795417,-0.44917223235231585,1.1619300731773126,1.0860037247049905,0.8316310933125604,0.2373688141486034
2020-2021,2020,Kertapati,91.661,435,967,361,2.2229885057471264,-0.13163298062624249,0.1398777427350419,-1.564040107868773,0.3431380391470387,-2.7485533049774293
2020-2021,2020,Plaju,93.171,449,9923,375,22.100222717149222,-0.08794818925357735,0.2211773599293134,0.4798621109161586,0.44835192773653565,0.4833145812017291
2020-2021,2020,Sako,110.079,402,9664,304,24.039800995024876,0.4012057528186206,-0.05175706922288386,0.4207541749329856,-0.08523279296734176,0.7986733822466577
2020-2021,2020,Seberang Ulu I,91.166,305,6791,244,22.2655737704918,-0.14595349170536126,-0.615047274068908,-0.2349103041390452,-0.5361494583509002,0.5101992450116085
2020-2021,2020,Seberang Ulu II,100.232,273,5699,218,20.875457875457876,0.11632883848310284,-0.8008749705129572,-0.48412214233836914,-0.7315466800171088,0.2841783171779852
2020-2021,2020,Sematang Borang,54.362,118,3334,103,28.25423728813559,-1.2107051881818922,-1.7009778751638205,-1.0238529091345239,-1.5958036220022624,1.4839045954623968
2020-2021,2020,Sukarami,183.667,627,18587,559,29.64433811802233,2.5301305392634355,1.254843921399337,2.457125266739366,1.8311630349127814,1.7099230738322326
2021-2022,2021,Alang-Alang Lebar,106.641,330,7898,273,23.933333333333334,0.3017432940509241,-0.46986938622199453,0.01772477359598373,-0.3182064034155136,0.7813626531443107
2021-2022,2021,Bukit Kecil,38.566,268,5043,196,18.817164179104477,-1.6676886083955451,-0.8299105480823399,-0.6338318180332011,-0.8968827906577469,-0.050482593229445115
2021-2022,2021,Gandus,75.394,289,596,217,2.0622837370242215,-0.6022425841091174,-0.7079611222909326,-1.6487082323852098,-0.7390619577735015,-2.7746825227381917
2021-2022,2021,Ilir Barat I,141.855,673,13753,529,20.435364041604753,1.3204957731218008,1.5219712350376577,1.3539292723661684,1.6057047022210023,0.2126228324758182
2021-2022,2021,Ilir Barat II,67.647,171,4073,150,23.818713450292396,-0.8263658150786773,-1.393200752928364,-0.855201308008791,-1.2425855674518083,0.7627264427350615
2021-2022,2021,Ilir Timur I,66.135,339,6284,248,18.536873156342182,-0.870108467102167,-0.4176053465971057,-0.35061580044587415,-0.5060883473253296,-0.0960555107498387
2021-2022,2021,Ilir Timur II,85.417,336,7074,273,21.053571428571427,-0.31227393250102403,-0.4350266931387353,-0.1703251848987442,-0.3182064034155136,0.3131380540447345
2021-2022,2021,Ilir Timur III,72.973,325,5623,224,17.301538461538463,-0.6722829019324432,-0.4989049637913772,-0.5014665559859411,-0.6864550134787529,-0.29691034228011787
2021-2022,2021,Jakabaring,90.882,402,8661,326,21.544776119402986,-0.15416970412247152,-0.05175706922288386,0.19185355797884468,0.08010331767329631,0.3930037259463334
2021-2022,2021,Kalidoni,124.248,615,13238,488,21.52520325203252,0.8111195335863627,1.1851585352328187,1.2363980483069634,1.297578314208904,0.38982134549932074
2021-2022,2021,Kemuning,80.644,625,1206,421,1.9296,-0.45035837569422255,1.243229690371584,-1.5094964912665398,0.7940547045305971,-2.796255760953639
2021-2022,2021,Kertapati,92.344,457,9358,360,20.477024070021884,-0.11187356836960019,0.2676342840403257,0.35092008840460365,0.33562276139064606,0.2193963959679363
2021-2022,2021,Plaju,94.143,474,9909,383,20.90506329113924,-0.05982791295276271,0.36635524777622686,0.4766670873495006,0.5084741497876768,0.28899190397683155
2021-2022,2021,Sako,112.553,410,9674,315,23.59512195121951,0.4727793778888016,-0.005300145111871558,0.42303633462345563,-0.0025647376470227293,0.7263723817127388
2021-2022,2021,Seberang Ulu I,91.637,305,6511,239,21.347540983606557,-0.13232730843613916,-0.615047274068908,-0.2988107754722052,-0.5737258471328633,0.36093498365415805
2021-2022,2021,Seberang Ulu II,100.48,295,5692,225,19.29491525423729,0.12350355918536848,-0.6731184292076734,-0.48571965412169815,-0.6789397357223603,0.02719563608998431
