Data Peserta Didik Kec. Alang-Alang Lebar - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
85;SMP PGRI 06 PALEMBANG;10609569;SMP;Swasta;05 Mar 2026 09:19:58;53;42;3;6;2;6;3;1
86;SMP TIARA NUSANTARA PALEMBANG;69974762;SMP;Swasta;03 Mar 2026 12:12:33;7;60;3;6;4;21;3;1
87;SMA NEGERI 22 PALEMBANG;10647682;SMA;Negeri;13 Mar 2026 10:45:15;178;1,483;38;79;23;34;7;1
88;SMA IT AL FURQON PALEMBANG;10648903;SMA;Swasta;12 Mar 2026 10:41:48;93;272;9;24;3;9;6;1
89;SMA LTI IGM PALEMBANG;10609652;SMA;Swasta;13 Mar 2026 07:47:20;92;248;9;32;4;17;6;1
90;SMK AISYIYAH  PALEMBANG;10647807;SMK;Swasta;04 Mar 2026 11:58:20;43;145;7;24;13;9;4;1
91;PKBM GENTAR ALAM;P9997337;PKBM;Swasta;-;0;0;0;0;0;0;0;0
92;PKBM MUTIARA;P9934303;PKBM;Swasta;10 Feb 2026 14:01:27;9;30;6;4;1;1;0;1
93;PKBM STQ BILAL BIN RABAH PALEMBANG;P9998330;PKBM;Swasta;-;0;0;0;0;0;0;0;0
94;SLB AUTIS TALANG KELAPA;69934410;SLB;Swasta;02 Mar 2026 10:53:15;11;109;16;12;5;7;0;0
95;SLB BINA POTENSI PALEMBANG;69830701;SLB;Swasta;11 Mar 2026 22:03:50;13;38;11;10;3;12;0;0
96;SKB KOTA PALEMBANG;P9959714;SKB;Negeri;26 Feb 2026 10:20:57;52;412;13;17;8;6;0;1
Total;Total;Total;Total;Total;Total;2,465;17,51;667;994;275;651;58;40
