Data Peserta Didik Kec. Sako - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
71;PAUD AN NAJWA;69876032;SPS;Swasta;24 Jan 2026 13:25:46;11;91;3;2;1;4;0;0
72;SPS HARAMAIN;69773276;SPS;Swasta;07 Mar 2026 20:36:36;17;19;2;1;1;3;0;0
73;SPS. ULIL ALBAB;69858101;SPS;Swasta;28 Jan 2026 22:02:08;8;12;1;1;1;2;0;0
74;SD NEGERI 103 PALEMBANG;10603515;SD;Negeri;07 Mar 2026 08:15:14;43;509;16;19;4;5;0;1
75;SD NEGERI 104 PALEMBANG;10603514;SD;Negeri;12 Mar 2026 08:01:00;39;899;28;36;5;24;0;1
76;SD NEGERI 105 PALEMBANG;10603969;SD;Negeri;05 Mar 2026 07:04:38;90;679;21;28;3;9;0;1
77;SD NEGERI 106 PALEMBANG;10603513;SD;Negeri;12 Mar 2026 08:59:43;27;885;28;37;5;17;0;1
78;SD NEGERI 107 PALEMBANG;10603953;SD;Negeri;13 Mar 2026 06:49:51;83;857;27;33;5;11;0;1
79;SD NEGERI 108 PALEMBANG;10603809;SD;Negeri;13 Mar 2026 09:21:20;33;445;15;17;5;11;0;0
80;SD NEGERI 109 PALEMBANG;10603512;SD;Negeri;13 Mar 2026 10:16:31;71;940;30;41;7;18;0;1
81;SD NEGERI 110 PALEMBANG;10604275;SD;Negeri;06 Mar 2026 13:06:24;27;554;18;25;5;14;0;1
82;SD NEGERI 111 PALEMBANG;10603511;SD;Negeri;10 Mar 2026 06:39:51;33;550;19;24;6;13;0;1
83;SD NEGERI 112 PALEMBANG;10603508;SD;Negeri;12 Mar 2026 12:31:39;57;544;20;26;2;11;0;1
84;SD NEGERI 113 PALEMBANG;10603808;SD;Negeri;07 Mar 2026 13:00:39;108;1,21;36;49;8;18;1;1
85;SD HARIS PALEMBANG;69867938;SD;Swasta;04 Mar 2026 08:09:10;19;89;6;4;3;6;1;1
86;SD ISLAM AL-AZHAR 45 PALEMBANG;69964428;SD;Swasta;09 Mar 2026 15:27:30;95;640;23;39;3;23;2;1
87;SD ISLAM YAA BUNAYYA;70043996;SD;Swasta;04 Mar 2026 08:12:42;0;0;0;8;1;0;0;0
88;SD IT AULADI SAKO PALEMBANG;69967555;SD;Swasta;16 Feb 2026 19:26:44;9;254;12;18;3;12;1;1
89;SD IT DARUL FADHLI;69989329;SD;Swasta;07 Mar 2026 12:38:52;25;119;6;10;4;8;1;1
90;SD IT INSAN MADANI SRIWIJAYA;70042810;SD;Swasta;22 Feb 2026 21:04:42;18;74;5;5;2;5;0;0
91;SD IT NURUL JANNAH;69990059;SD;Swasta;10 Mar 2026 11:17:56;14;155;6;8;3;6;0;1
92;SD IT TARBAWI PALEMBANG;69961806;SD;Swasta;06 Mar 2026 12:22:30;12;323;12;23;5;12;0;1
93;SD MANDIRI PALEMBANG;10645378;SD;Swasta;12 Mar 2026 11:27:38;17;82;6;10;2;6;2;1
94;SD MATARAM PALEMBANG;10609445;SD;Swasta;11 Mar 2026 16:46:37;23;242;10;9;3;10;0;1
95;SD ULIL ALBAB PALEMBANG;10647483;SD;Swasta;04 Mar 2026 08:31:24;16;204;9;5;3;14;2;1
96;SMP NEGERI 14 PALEMBANG;10603756;SMP;Negeri;11 Mar 2026 07:27:53;106;1,193;33;54;11;31;1;1
97;SMP NEGERI 27 PALEMBANG;10603673;SMP;Negeri;11 Mar 2026 17:07:08;73;1,018;29;50;11;30;2;1
98;SMP NEGERI 41 PALEMBANG;10603734;SMP;Negeri;12 Mar 2026 08:38:35;71;1,096;32;41;10;19;2;1
99;SMP NEGERI 53 PALEMBANG;10603751;SMP;Negeri;13 Mar 2026 12:34:33;54;917;27;38;13;26;3;1
100;SMP BINA TAMA PALEMBANG;10609503;SMP;Swasta;27 Feb 2026 15:53:36;153;228;8;19;11;10;3;1
101;SMP ISLAM AL-AZHAR 33 PALEMBANG;69964429;SMP;Swasta;05 Mar 2026 22:29:19;47;167;6;21;4;8;2;1
102;SMP IT KHAZANAH KEBAJIKAN;69954001;SMP;Swasta;03 Feb 2026 20:02:36;28;166;7;16;4;11;0;1
103;SMP IT ULIL ALBAB PALEMBANG;69961489;SMP;Swasta;28 Jan 2026 21:18:40;8;90;3;3;2;5;2;1
104;SMP KARYA SAKTI PALEMBANG;10609527;SMP;Swasta;12 Mar 2026 08:32:02;82;28;3;9;5;3;2;1
105;SMP MANDIRI PALEMBANG;10609534;SMP;Swasta;10 Mar 2026 23:09:06;13;67;3;5;1;10;2;1
106;SMP SETIA NEGARA PALEMBANG;10609581;SMP;Swasta;24 Feb 2026 14:47:55;8;164;6;14;5;10;2;1
107;SMA NEGERI 14 PALEMBANG;10603862;SMA;Negeri;11 Mar 2026 06:59:11;31;980;28;65;16;28;3;1
108;SMA NEGERI 16 PALEMBANG;10603860;SMA;Negeri;13 Mar 2026 11:16:44;136;1,032;28;58;11;28;5;1
109;SMA IT KHAZANAH KEBAJIKAN PALEMBANG;69965480;SMA;Swasta;11 Mar 2026 01:28:33;26;98;4;19;6;5;0;1
110;SMA IT Ulil Albab;70051511;SMA;Swasta;15 Feb 2026 20:32:19;5;17;2;1;1;3;0;0
111;SMA MANDIRI PALEMBANG;10609653;SMA;Swasta;03 Mar 2026 12:24:05;8;94;3;4;1;4;1;1
112;SMK HARAPAN BANGSA PALEMBANG;10609754;SMK;Swasta;19 Jan 2026 10:44:54;8;66;3;0;4;5;1;1
113;SMK KARYA ANDALAS PALEMBANG;10603726;SMK;Swasta;28 Feb 2026 08:21:24;10;271;9;9;6;9;1;1
114;SMK KESEHATAN RIZKI PATYA PALEMBANG;69938492;SMK;Swasta;05 Mar 2026 22:39:16;15;39;6;1;1;7;1;1
115;SMK MANDIRI PALEMBANG;69772970;SMK;Swasta;03 Mar 2026 08:01:53;29;256;11;20;5;14;1;1
116;SMK TUNAS HARAPAN PALEMBANG;70006391;SMK;Swasta;13 Mar 2026 09:52:07;54;450;12;5;3;7;1;1
117;PKBM BRIYAN;P9984906;PKBM;Swasta;12 Feb 2026 21:48:18;16;132;7;7;2;6;0;0
118;PKBM HOMESCHOOLING ALAM TELAGA;P9996193;PKBM;Swasta;-;8;83;3;0;2;8;0;0
119;PKBM KARYA SAKTI;P2966339;PKBM;Swasta;02 Mar 2026 08:34:45;34;72;6;4;1;6;0;1
120;SLB B YPAC PALEMBANG;10603995;SLB;Swasta;03 Mar 2026 10:32:41;30;51;11;15;0;12;0;1
121;SLB C YPAC PALEMBANG;10604005;SLB;Swasta;03 Mar 2026 05:02:53;22;54;11;9;1;13;0;0
122;SLB C1 YPAC PALEMBANG;10604004;SLB;Swasta;10 Mar 2026 14:19:27;36;44;12;9;4;14;0;1
123;SLB D.D1 YPAC PALEMBANG;10609480;SLB;Swasta;07 Mar 2026 07:19:40;13;20;11;5;2;12;0;1
Total;Total;Total;Total;Total;Total;2,678;21,695;839;1,13;333;785;46;55
