Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Alang-Alang Lebar,SD PALM KIDS PALEMBANG,2024-2025,116594,Swasta,192,9,9
Alang-Alang Lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2024-2025,116594,Swasta,600,40,24
Alang-Alang Lebar,SD RIFANDA,2024-2025,116594,Swasta,26,6,4
Alang-Alang Lebar,SD SAINS ALUMNIKA PALEMBANG,2024-2025,116594,Swasta,163,6,6
Bukit Kecil,SD ISLAM MAHAD DARUSSALAM,2019-2020,50301,Swasta,165,11,11
Bukit Kecil,SD IT HARAPAN MULIA PALEMBANG,2019-2020,50301,Swasta,715,43,26
Bukit Kecil,SD KARTIKA II 3 PALEMBANG,2019-2020,50301,Swasta,384,19,17
Bukit Kecil,SD MUHAMMADIYAH 01 PALEMBANG,2019-2020,50301,Swasta,629,22,20
Bukit Kecil,SD NEGERI 136 PALEMBANG,2019-2020,50301,Negeri,750,36,26
Bukit Kecil,SD NEGERI 137 PALEMBANG,2019-2020,50301,Negeri,253,18,12
Bukit Kecil,SD NEGERI 138 PALEMBANG,2019-2020,50301,Negeri,583,28,22
Bukit Kecil,SD NEGERI 139 PALEMBANG,2019-2020,50301,Negeri,436,22,17
Bukit Kecil,SD NEGERI 140 PALEMBANG,2019-2020,50301,Negeri,301,18,14
Bukit Kecil,SD NEGERI 141 PALEMBANG,2019-2020,50301,Negeri,656,30,24
Bukit Kecil,SD SENTOSA PALEMBANG,2019-2020,50301,Swasta,73,7,6
Bukit Kecil,SD XAVERIUS 04 PALEMBANG,2019-2020,50301,Swasta,496,23,18
Bukit Kecil,SD ISLAM MAHAD DARUSSALAM,2020-2021,38585,Swasta,200,12,12
Bukit Kecil,SD IT HARAPAN MULIA PALEMBANG,2020-2021,38585,Swasta,704,42,26
Bukit Kecil,SD KARTIKA II 3 PALEMBANG,2020-2021,38585,Swasta,353,19,14
Bukit Kecil,SD MUHAMMADIYAH 01 PALEMBANG,2020-2021,38585,Swasta,642,26,21
Bukit Kecil,SD NEGERI 136 PALEMBANG,2020-2021,38585,Negeri,722,31,24
Bukit Kecil,SD NEGERI 137 PALEMBANG,2020-2021,38585,Negeri,215,17,10
Bukit Kecil,SD NEGERI 138 PALEMBANG,2020-2021,38585,Negeri,564,26,21
Bukit Kecil,SD NEGERI 139 PALEMBANG,2020-2021,38585,Negeri,429,22,14
Bukit Kecil,SD NEGERI 140 PALEMBANG,2020-2021,38585,Negeri,257,18,12
Bukit Kecil,SD NEGERI 141 PALEMBANG,2020-2021,38585,Negeri,653,27,21
Bukit Kecil,SD SENTOSA PALEMBANG,2020-2021,38585,Swasta,9,6,6
Bukit Kecil,SD XAVERIUS 04 PALEMBANG,2020-2021,38585,Swasta,472,25,18
Bukit Kecil,SD ISLAM MAHAD DARUSSALAM,2021-2022,38566,Swasta,165,9,8
Bukit Kecil,SD IT HARAPAN MULIA PALEMBANG,2021-2022,38566,Swasta,681,44,26
Bukit Kecil,SD IT ROYAL ISLAMIC SCHOOL,2021-2022,38566,Swasta,63,5,3
Bukit Kecil,SD KARTIKA II 3 PALEMBANG,2021-2022,38566,Swasta,322,19,15
Bukit Kecil,SD MUHAMMADIYAH 01 PALEMBANG,2021-2022,38566,Swasta,640,23,21
Bukit Kecil,SD NEGERI 136 PALEMBANG,2021-2022,38566,Negeri,685,34,24
Bukit Kecil,SD NEGERI 137 PALEMBANG,2021-2022,38566,Negeri,178,19,9
Bukit Kecil,SD NEGERI 138 PALEMBANG,2021-2022,38566,Negeri,545,27,21
Bukit Kecil,SD NEGERI 139 PALEMBANG,2021-2022,38566,Negeri,404,21,16
Bukit Kecil,SD NEGERI 140 PALEMBANG,2021-2022,38566,Negeri,247,15,12
Bukit Kecil,SD NEGERI 141 PALEMBANG,2021-2022,38566,Negeri,656,30,23
Bukit Kecil,SD XAVERIUS 04 PALEMBANG,2021-2022,38566,Swasta,457,22,18
Bukit Kecil,SD ISLAM MAHAD DARUSSALAM,2022-2023,38704,Swasta,149,9,7
Bukit Kecil,SD IT HARAPAN MULIA PALEMBANG,2022-2023,38704,Swasta,688,42,25
Bukit Kecil,SD IT ROYAL ISLAMIC SCHOOL,2022-2023,38704,Swasta,102,12,7
Bukit Kecil,SD KARTIKA II 3 PALEMBANG,2022-2023,38704,Swasta,305,16,12
Bukit Kecil,SD MUHAMMADIYAH 01 PALEMBANG,2022-2023,38704,Swasta,654,25,21
Bukit Kecil,SD NEGERI 136 PALEMBANG,2022-2023,38704,Negeri,667,34,24
Bukit Kecil,SD NEGERI 137 PALEMBANG,2022-2023,38704,Negeri,157,17,8
Bukit Kecil,SD NEGERI 138 PALEMBANG,2022-2023,38704,Negeri,544,28,21
Bukit Kecil,SD NEGERI 139 PALEMBANG,2022-2023,38704,Negeri,399,19,16
Bukit Kecil,SD NEGERI 140 PALEMBANG,2022-2023,38704,Negeri,246,14,12
Bukit Kecil,SD NEGERI 141 PALEMBANG,2022-2023,38704,Negeri,642,29,22
Bukit Kecil,SD XAVERIUS 04 PALEMBANG,2022-2023,38704,Swasta,436,22,18
Bukit Kecil,SD ISLAM MAHAD DARUSSALAM,2023-2024,38226,Swasta,129,8,8
Bukit Kecil,SD IT HARAPAN MULIA PALEMBANG,2023-2024,38226,Swasta,723,47,25
Bukit Kecil,SD IT ROYAL ISLAMIC SCHOOL,2023-2024,38226,Swasta,150,12,7
Bukit Kecil,SD KARTIKA II 3 PALEMBANG,2023-2024,38226,Swasta,290,14,12
Bukit Kecil,SD MUHAMMADIYAH 01 PALEMBANG,2023-2024,38226,Swasta,675,27,22
Bukit Kecil,SD NEGERI 136 PALEMBANG,2023-2024,38226,Negeri,660,32,24
Bukit Kecil,SD NEGERI 137 PALEMBANG,2023-2024,38226,Negeri,132,13,7
Bukit Kecil,SD NEGERI 138 PALEMBANG,2023-2024,38226,Negeri,503,29,20
Bukit Kecil,SD NEGERI 139 PALEMBANG,2023-2024,38226,Negeri,417,21,17
Bukit Kecil,SD NEGERI 140 PALEMBANG,2023-2024,38226,Negeri,242,14,12
Bukit Kecil,SD NEGERI 141 PALEMBANG,2023-2024,38226,Negeri,648,27,22
Bukit Kecil,SD XAVERIUS 04 PALEMBANG,2023-2024,38226,Swasta,426,22,18
Bukit Kecil,SD ISLAM MAHAD DARUSSALAM,2024-2025,38195,Swasta,127,13,8
Bukit Kecil,SD IT HARAPAN MULIA PALEMBANG,2024-2025,38195,Swasta,701,53,24
Bukit Kecil,SD IT ROYAL ISLAMIC SCHOOL,2024-2025,38195,Swasta,234,16,11
Bukit Kecil,SD KARTIKA II 3 PALEMBANG,2024-2025,38195,Swasta,280,15,12
Bukit Kecil,SD MUHAMMADIYAH 01 PALEMBANG,2024-2025,38195,Swasta,683,27,24
Bukit Kecil,SD NEGERI 136 PALEMBANG,2024-2025,38195,Negeri,666,33,24
Bukit Kecil,SD NEGERI 137 PALEMBANG,2024-2025,38195,Negeri,120,12,6
Bukit Kecil,SD NEGERI 138 PALEMBANG,2024-2025,38195,Negeri,468,26,19
Bukit Kecil,SD NEGERI 139 PALEMBANG,2024-2025,38195,Negeri,392,23,16
Bukit Kecil,SD NEGERI 140 PALEMBANG,2024-2025,38195,Negeri,212,16,10
Bukit Kecil,SD NEGERI 141 PALEMBANG,2024-2025,38195,Negeri,636,28,24
Bukit Kecil,SD XAVERIUS 04 PALEMBANG,2024-2025,38195,Swasta,422,22,18
Gandus,SD MUHAMMADIYAH 12 PALEMBANG,2019-2020,65782,Swasta,317,16,11
Gandus,SD NEGERI 142 PALEMBANG,2019-2020,65782,Negeri,314,15,12
Gandus,SD NEGERI 143 PALEMBANG,2019-2020,65782,Negeri,872,28,24
Gandus,SD NEGERI 144 PALEMBANG,2019-2020,65782,Negeri,813,28,24
Gandus,SD NEGERI 145 PALEMBANG,2019-2020,65782,Negeri,146,9,6
Gandus,SD NEGERI 146 PALEMBANG,2019-2020,65782,Negeri,405,21,15
Gandus,SD NEGERI 147 PALEMBANG,2019-2020,65782,Negeri,311,15,11
