Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir timur III,SD KARYA DHARMA BHAKTI 01 PALEMBANG,2024-2025,75,Swasta,112,5,6,17
ilir timur III,SD KUSUMA BANGSA PALEMBANG,2024-2025,75,Swasta,545,24,20,17
ilir timur III,SD MAITREYAWIRA PALEMBANG,2024-2025,75,Swasta,830,54,30,17
ilir timur III,SD MARANATHA PALEMBANG,2024-2025,75,Swasta,55,7,6,17
ilir timur III,SD NEGERI 054 PALEMBANG,2024-2025,75,Negeri,353,19,13,17
ilir timur III,SD NEGERI 055 PALEMBANG,2024-2025,75,Negeri,665,33,24,17
ilir timur III,SD NEGERI 056 PALEMBANG,2024-2025,75,Negeri,161,9,6,17
ilir timur III,SD NEGERI 057 PALEMBANG,2024-2025,75,Negeri,476,24,19,17
ilir timur III,SD NEGERI 059 PALEMBANG,2024-2025,75,Negeri,334,16,12,17
ilir timur III,SD NEGERI 060 PALEMBANG,2024-2025,75,Negeri,402,19,14,17
ilir timur III,SD NEGERI 061 PALEMBANG,2024-2025,75,Negeri,291,16,12,17
ilir timur III,SD YAYASAN IBA PALEMBANG,2024-2025,75,Swasta,393,28,18,17
