Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
seberang ulu II,SD NEGERI 100 PALEMBANG,2023-2024,106,Negeri,282,15,12,19
seberang ulu II,SD NEGERI 101 PALEMBANG,2023-2024,106,Negeri,314,20,12,19
seberang ulu II,SD NEGERI 102 PALEMBANG,2023-2024,106,Negeri,354,14,12,19
seberang ulu II,SD XAVERIUS 07 PALEMBANG,2023-2024,106,Swasta,63,7,6,19
seberang ulu II,SDI BAITUR RAHMAH,2023-2024,106,Swasta,293,16,11,19
seberang ulu II,SD ISLAM TERPADU AULADI PALEMBANG,2024-2025,107,Swasta,461,35,19,19
seberang ulu II,SD IT ABI UMI,2024-2025,107,Swasta,0,0,0,19
seberang ulu II,SD MUHAMMADIYAH 16 PALEMBANG,2024-2025,107,Swasta,321,18,13,19
seberang ulu II,SD MUHAMMADIYAH 17 PALEMBANG,2024-2025,107,Swasta,168,7,6,19
seberang ulu II,SD NEGERI 090 PALEMBANG,2024-2025,107,Negeri,422,22,15,19
seberang ulu II,SD NEGERI 091 PALEMBANG,2024-2025,107,Negeri,444,24,19,19
seberang ulu II,SD NEGERI 092 PALEMBANG,2024-2025,107,Negeri,293,17,12,19
seberang ulu II,SD NEGERI 093 PALEMBANG,2024-2025,107,Negeri,552,24,18,19
seberang ulu II,SD NEGERI 094 PALEMBANG,2024-2025,107,Negeri,256,18,11,19
seberang ulu II,SD NEGERI 095 PALEMBANG,2024-2025,107,Negeri,395,19,16,19
seberang ulu II,SD NEGERI 096 PALEMBANG,2024-2025,107,Negeri,155,9,6,19
seberang ulu II,SD NEGERI 097 PALEMBANG,2024-2025,107,Negeri,120,9,6,19
seberang ulu II,SD NEGERI 098 PALEMBANG,2024-2025,107,Negeri,525,25,18,19
seberang ulu II,SD NEGERI 099 PALEMBANG,2024-2025,107,Negeri,363,21,15,19
seberang ulu II,SD NEGERI 100 PALEMBANG,2024-2025,107,Negeri,294,15,12,19
seberang ulu II,SD NEGERI 101 PALEMBANG,2024-2025,107,Negeri,345,18,13,19
seberang ulu II,SD NEGERI 102 PALEMBANG,2024-2025,107,Negeri,343,18,12,19
seberang ulu II,SD XAVERIUS 07 PALEMBANG,2024-2025,107,Swasta,55,6,6,19
seberang ulu II,SDI BAITUR RAHMAH,2024-2025,107,Swasta,317,18,13,19
